method,file,original_size,compressed_size,conclusion
ari,test_1,13,24,OK
ari,test_2,13095,7940,OK
ari,test_3,226304,176772,OK
ari,test_4,0,5,OK
ari,test_5,1000000,432738,OK
ari,test_6,1000000,91,OK
ari,test_7,1000000,242176,OK
