method,file,original_size,compressed_size,conclusion
ari,test_1,13,25,OK
ari,test_2,13095,8091,OK
ari,test_3,226304,184507,OK
ari,test_4,0,5,OK
ari,test_5,1000000,437098,OK
ari,test_6,1000000,376,OK
ari,test_7,1000000,39558,OK
3500, 3500*50
