method,file,original_size,compressed_size,conclusion
ari,test_1,13,26,OK
ari,test_2,13095,8097,OK
ari,test_3,226304,183711,OK
ari,test_4,0,5,OK
ari,test_5,1000000,436395,OK
ari,test_6,1000000,265,OK
ari,test_7,1000000,36787,OK
5000, 5000*50
